date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:38:42	23940/23940	---M--	200	added ('OK')	font/woff2	date:Tue,%2022%20Mar%202022%2013:08:02%20GMT	http://manifesto.clapat.com/webfonts/fa-regular-400.woff2	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/webfonts/fa-regular-400.woff2	(from http://manifesto.clapat.com/css/all.min.css)
22:38:52	60520/60520	---M--	200	added ('OK')	font/ttf	date:Tue,%2022%20Mar%202022%2013:08:02%20GMT	http://manifesto.clapat.com/webfonts/fa-regular-400.ttf	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/webfonts/fa-regular-400.ttf	(from http://manifesto.clapat.com/css/all.min.css)
22:38:53	105536/105536	---M--	200	added ('OK')	font/woff2	date:Tue,%2022%20Mar%202022%2013:08:02%20GMT	http://manifesto.clapat.com/webfonts/fa-brands-400.woff2	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/webfonts/fa-brands-400.woff2	(from http://manifesto.clapat.com/css/all.min.css)
22:39:01	780414/780414	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2015:01:46%20GMT	http://manifesto.clapat.com/images/02hero.jpg	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/02hero.jpg	(from http://manifesto.clapat.com/)
22:39:02	4960/4960	---M--	200	added ('OK')	font/woff2	date:Tue,%2022%20Mar%202022%2013:08:02%20GMT	http://manifesto.clapat.com/webfonts/fa-v4compatibility.woff2	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/webfonts/fa-v4compatibility.woff2	(from http://manifesto.clapat.com/css/all.min.css)
22:39:05	10556/10556	---M--	200	added ('OK')	font/ttf	date:Tue,%2022%20Mar%202022%2013:08:02%20GMT	http://manifesto.clapat.com/webfonts/fa-v4compatibility.ttf	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/webfonts/fa-v4compatibility.ttf	(from http://manifesto.clapat.com/css/all.min.css)
22:39:05	181852/181852	---M--	200	added ('OK')	font/ttf	date:Tue,%2022%20Mar%202022%2013:08:02%20GMT	http://manifesto.clapat.com/webfonts/fa-brands-400.ttf	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/webfonts/fa-brands-400.ttf	(from http://manifesto.clapat.com/css/all.min.css)
22:39:06	30327/30327	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2014:10:14%20GMT	http://manifesto.clapat.com/project04.html	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/project04.html	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:39:18	154228/154228	---M--	200	added ('OK')	font/woff2	date:Tue,%2022%20Mar%202022%2013:08:02%20GMT	http://manifesto.clapat.com/webfonts/fa-solid-900.woff2	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/webfonts/fa-solid-900.woff2	(from http://manifesto.clapat.com/css/all.min.css)
22:39:20	24342/24342	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2014:08:55%20GMT	http://manifesto.clapat.com/project05.html	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/project05.html	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:39:23	99254/99254	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20May%202023%2015:01:21%20GMT	http://manifesto.clapat.com/images/04hero.jpg	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/04hero.jpg	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:39:25	24152/24152	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2014:08:38%20GMT	http://manifesto.clapat.com/project06.html	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/project06.html	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:39:58	388460/388460	---M--	200	added ('OK')	font/ttf	date:Tue,%2022%20Mar%202022%2013:08:02%20GMT	http://manifesto.clapat.com/webfonts/fa-solid-900.ttf	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/webfonts/fa-solid-900.ttf	(from http://manifesto.clapat.com/css/all.min.css)
22:39:59	23724/23724	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2014:07:41%20GMT	http://manifesto.clapat.com/project07.html	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/project07.html	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:40:13	296569/296569	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Apr%202023%2007:01:42%20GMT	http://manifesto.clapat.com/images/06hero.jpg	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/06hero.jpg	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:40:14	20961/20961	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Nov%202023%2014:07:19%20GMT	http://manifesto.clapat.com/project08.html	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/project08.html	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:40:22	384669/384669	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202023%2010:43:37%20GMT	http://manifesto.clapat.com/images/05hero.jpg	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/05hero.jpg	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:40:52	178708/178708	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Jun%202023%2015:42:25%20GMT	http://manifesto.clapat.com/images/about.jpg	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/about.jpg	(from http://manifesto.clapat.com/about.html)
22:40:52	234701/234701	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Apr%202023%2017:32:25%20GMT	http://manifesto.clapat.com/images/08hero.jpg	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/08hero.jpg	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:40:53	338052/338052	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20May%202023%2014:16:48%20GMT	http://manifesto.clapat.com/images/07hero.jpg	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/07hero.jpg	(from http://manifesto.clapat.com/index-showcase-carousel.html)
22:40:55	8502/8502	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Apr%202022%2013:41:50%20GMT	http://manifesto.clapat.com/images/client-01.png	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/client-01.png	(from http://manifesto.clapat.com/about.html)
22:40:55	3795/3795	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Apr%202022%2013:41:57%20GMT	http://manifesto.clapat.com/images/client-02.png	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/client-02.png	(from http://manifesto.clapat.com/about.html)
22:40:57	4851/4851	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Apr%202022%2013:42:03%20GMT	http://manifesto.clapat.com/images/client-03.png	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/client-03.png	(from http://manifesto.clapat.com/about.html)
22:40:58	6489/6489	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Apr%202022%2013:42:15%20GMT	http://manifesto.clapat.com/images/client-05.png	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/client-05.png	(from http://manifesto.clapat.com/about.html)
22:40:58	10972/10972	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Apr%202022%2013:42:09%20GMT	http://manifesto.clapat.com/images/client-04.png	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/client-04.png	(from http://manifesto.clapat.com/about.html)
22:40:59	3558/3558	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Apr%202022%2013:42:22%20GMT	http://manifesto.clapat.com/images/client-06.png	C:/Users/akshi/OneDrive/Desktop/portfolio/manifesto.clapat.com/images/client-06.png	(from http://manifesto.clapat.com/about.html)
